week,division,mean,std dev
0,AFC ALL,16.38,9.16
0,AFC East,15.00,6.71
0,AFC North,15.50,8.50
0,AFC South,20.75,11.05
0,AFC West,14.25,8.38
0,NFC ALL,16.62,9.30
0,NFC East,16.25,8.41
0,NFC North,13.25,8.44
0,NFC South,23.75,6.06
0,NFC West,13.25,9.68
1,AFC ALL,15.94,9.30
1,AFC East,14.25,6.30
1,AFC North,15.25,9.65
1,AFC South,20.75,11.12
1,AFC West,13.50,7.57
1,NFC ALL,17.06,9.13
1,NFC East,17.00,9.54
1,NFC North,13.75,8.26
1,NFC South,23.50,3.91
1,NFC West,14.00,9.85
2,AFC ALL,15.81,9.38
2,AFC East,10.50,6.98
2,AFC North,17.00,8.83
2,AFC South,22.25,7.15
2,AFC West,13.50,9.86
2,NFC ALL,17.19,9.04
2,NFC East,19.50,7.57
2,NFC North,17.00,10.07
2,NFC South,22.00,6.44
2,NFC West,10.25,7.05
3,AFC ALL,14.38,8.49
3,AFC East,9.25,6.18
3,AFC North,14.75,8.93
3,AFC South,22.50,5.12
3,AFC West,11.00,6.36
3,NFC ALL,18.62,9.45
3,NFC East,22.00,6.04
3,NFC North,18.25,11.45
3,NFC South,21.25,9.36
3,NFC West,13.00,7.21
4,AFC ALL,15.69,8.61
4,AFC East,12.00,9.51
4,AFC North,15.75,9.65
4,AFC South,22.25,4.82
4,AFC West,12.75,4.97
4,NFC ALL,17.31,9.74
4,NFC East,18.75,2.28
4,NFC North,16.75,11.76
4,NFC South,19.50,11.06
4,NFC West,14.25,9.88
5,AFC ALL,16.19,8.62
5,AFC East,12.00,9.19
5,AFC North,15.75,8.70
5,AFC South,23.00,5.79
5,AFC West,14.00,5.87
5,NFC ALL,16.81,9.80
5,NFC East,18.75,2.59
5,NFC North,16.75,11.58
5,NFC South,18.00,12.10
5,NFC West,13.75,9.07
6,AFC ALL,16.50,9.03
6,AFC East,12.00,9.92
6,AFC North,14.25,7.19
6,AFC South,23.75,6.30
6,AFC West,16.00,7.65
6,NFC ALL,16.50,9.43
6,NFC East,16.75,4.32
6,NFC North,17.50,11.43
6,NFC South,17.00,11.11
6,NFC West,14.75,8.84
7,AFC ALL,16.88,9.92
7,AFC East,10.50,7.70
7,AFC North,14.75,9.83
7,AFC South,24.75,7.22
7,AFC West,17.50,8.85
7,NFC ALL,16.12,8.47
7,NFC East,16.25,3.96
7,NFC North,16.75,11.39
7,NFC South,15.75,10.78
7,NFC West,15.75,4.97
8,AFC ALL,17.62,9.99
8,AFC East,10.25,6.61
8,AFC North,15.75,10.62
8,AFC South,27.50,4.56
8,AFC West,17.00,8.12
8,NFC ALL,15.38,8.26
8,NFC East,15.75,4.49
8,NFC North,17.00,11.55
8,NFC South,13.75,9.12
